group,k,retention
all,1,0.8920743145743144
all,2,0.8285138542714298
all,3,0.7843887121948346
all,4,0.7484889394683207
all,5,0.7166775643338142
all,6,0.6831419457735246
all,7,0.6610274477295752
all,8,0.6389238002141228
all,9,0.6288266986636551
all,10,0.6130349808921237
all,11,0.6002477152477153
all,12,0.5814168977090325
all,13,0.5609225370589006
all,14,0.5424387553697898
all,15,0.5306394509882882
all,16,0.5123771326712504
all,17,0.49765769944341376
all,18,0.4794185399607086
all,19,0.4594279027205856
all,20,0.4467029198510679
all,21,0.440690386002886
all,22,0.4364983469413849
all,23,0.4299515299515299
all,24,0.4216670414722363
will,1,0.8935577200577199
will,2,0.83270584634221
will,3,0.7906521483052097
will,4,0.7546406628880856
will,5,0.7225209686147186
will,6,0.6906952988531935
will,7,0.6686949280034387
will,8,0.6475523281974894
will,9,0.6396892057218144
will,10,0.6290447647590505
will,11,0.6185165143498477
will,12,0.6017145775572742
will,13,0.5809322937163847
will,14,0.5623637856396477
will,15,0.5507680626866674
will,16,0.5332191664544607
will,17,0.5193194702123274
will,18,0.5012791425442028
will,19,0.4829096716291839
will,20,0.4682797997612812
will,21,0.4609546356421356
will,22,0.4528549509562167
will,23,0.4432923557923557
will,24,0.43077997039036
would,1,0.967391304347826
would,2,0.9555555555555556
would,3,0.9545454545454546
would,4,0.9534883720930233
would,5,0.9523809523809523
would,6,0.9512195121951219
would,7,0.95
would,8,0.9487179487179487
would,9,0.9473684210526315
would,10,0.9459459459459459
would,11,0.9444444444444444
would,12,0.9428571428571428
would,13,0.9411764705882353
would,14,0.9393939393939394
would,15,0.9375
would,16,0.9354838709677419
would,17,0.9333333333333333
would,18,0.9310344827586207
would,19,0.9285714285714286
would,20,0.9259259259259259
would,21,0.9230769230769231
would,22,0.92
would,23,0.9166666666666666
would,24,0.9130434782608695
could,1,0.9795918367346939
could,2,0.9583333333333334
could,3,0.9361702127659575
could,4,0.9130434782608695
could,5,0.9111111111111111
could,6,0.9090909090909091
could,7,0.9069767441860465
could,8,0.9047619047619048
could,9,0.9024390243902439
could,10,0.9
could,11,0.8974358974358975
could,12,0.8947368421052632
could,13,0.8918918918918919
could,14,0.8888888888888888
could,15,0.8857142857142857
could,16,0.8823529411764706
could,17,0.8787878787878788
could,18,0.875
could,19,0.8709677419354839
could,20,0.8666666666666667
could,21,0.8620689655172413
could,22,0.8571428571428571
could,23,0.8518518518518519
could,24,0.8461538461538461
can,1,0.5
can,2,0.0
can,3,0.0
can,4,0.0
can,5,0.0
can,6,0.0
can,7,0.0
can,8,0.0
can,9,0.0
can,10,0.0
can,11,0.0
can,12,0.0
can,13,0.0
can,14,0.0
can,15,0.0
can,16,0.0
can,17,0.0
can,18,0.0
can,19,0.0
can,20,0.0
can,21,0.0
can,22,0.0
can,23,0.0
can,24,0.0
should,1,0.9259259259259259
should,2,0.8518518518518519
should,3,0.7777777777777778
should,4,0.7037037037037037
should,5,0.6296296296296297
should,6,0.5555555555555556
should,7,0.5185185185185185
should,8,0.48148148148148145
should,9,0.4444444444444444
should,10,0.4074074074074074
should,11,0.37037037037037035
should,12,0.3333333333333333
should,13,0.2962962962962963
should,14,0.25925925925925924
should,15,0.2222222222222222
should,16,0.18518518518518517
should,17,0.14814814814814814
should,18,0.1111111111111111
should,19,0.07407407407407407
should,20,0.037037037037037035
should,21,0.0
should,22,0.0
should,23,0.0
should,24,0.0
may,1,0.7884615384615384
may,2,0.6923076923076923
may,3,0.5769230769230769
may,4,0.5
may,5,0.4230769230769231
may,6,0.34615384615384615
may,7,0.2692307692307692
may,8,0.23076923076923078
may,9,0.19230769230769232
may,10,0.15384615384615385
may,11,0.11538461538461539
may,12,0.07692307692307693
may,13,0.038461538461538464
may,14,0.0
may,15,0.0
may,16,0.0
may,17,0.0
may,18,0.0
may,19,0.0
may,20,0.0
may,21,0.0
may,22,0.0
may,23,0.0
may,24,0.0
modal_sentences,1,0.7714253246753247
modal_sentences,2,0.6611537452446543
modal_sentences,3,0.5810028123803633
modal_sentences,4,0.522100980348403
modal_sentences,5,0.47600183381433375
modal_sentences,6,0.4428544846965898
modal_sentences,7,0.4104963003899173
modal_sentences,8,0.3808728607115703
modal_sentences,9,0.3482244808331765
modal_sentences,10,0.32262856191427625
modal_sentences,11,0.30174603174603176
modal_sentences,12,0.2817014446227929
modal_sentences,13,0.26137716450216447
modal_sentences,14,0.24154351395730703
modal_sentences,15,0.22898671096345516
modal_sentences,16,0.21613445378151255
modal_sentences,17,0.2056689342403628
modal_sentences,18,0.19143717728055076
modal_sentences,19,0.1771486643437863
modal_sentences,20,0.16480991573584167
modal_sentences,21,0.15657738095238094
modal_sentences,22,0.1508237894313844
modal_sentences,23,0.14349816849816852
modal_sentences,24,0.13571428571428573
